Model Type,Model,MAE,RMSE,MAPE
Load,ANN,26.613278924988204,35.102141550569016,16.417794662760972
Load,LSTM,26.26437924191907,34.92264907037707,16.049202329923542
Load,Random Forest,29.746553036163434,39.74436341692067,17.88817822152497
Load,Persistence,8.45153830885272,10.789288232856487,5.469187585662795
Solar,ANN,0.08111041131615668,0.13658797525732974,805736269.8587418
Solar,LSTM,0.07713534562706895,0.12907865792935586,1671089327.5988948
Solar,Random Forest,0.05044990573284161,0.09055039652155954,9925.576098969415
Solar,Persistence,0.07255365772450534,0.12192389638647516,98958780.18780524
Wind,ANN,0.2344787908639049,0.26719345526033017,192.31754981508794
Wind,LSTM,0.23975284381214923,0.270827277754837,224.37276320290533
Wind,Random Forest,0.28027524633561424,0.3486751184955447,283.3819206606083
Wind,Persistence,0.034190655945587366,0.04796930478495786,13.087600093758262
